nm	nmqm	wfl	rooms	bj	bez	wohngut	wohnbest	ww0	zh0	badkach0	badextra	kueche
532.31	10.65	50	2	1957	18	0	0	0	0	0	0	0
733.6	6.67	110	4	1918	18	0	0	0	1	0	1	1
745.62	11.84	63	2	1918	1	1	0	0	0	0	0	0
483.69	10.08	48	1	1948	3	1	0	0	0	0	0	0
574.25	8.32	69	3	1966	14	0	0	0	0	0	0	0
746.32	9.1	82	3	1918	2	1	0	0	0	1	0	0
480.88	6.09	79	3	1948	2	1	0	0	0	0	0	0
402.91	4.03	100	4	1918	2	1	0	0	0	0	0	0
640.39	6.74	95	3	1918	2	0	0	0	1	0	0	0
458.03	5.33	86	4	1972	11	0	0	0	0	1	0	1
283.36	7.66	37	1	1969	19	0	0	0	0	1	0	0
483.16	6.9	70	3	1971	19	0	0	0	0	1	0	0
457.2	9.94	46	1	1971	19	1	0	0	0	0	0	0
637.95	7.01	91	4	1969	19	0	0	0	0	1	0	0
634.76	8.14	78	3	1987	19	0	0	0	0	0	0	0
749.05	8.23	91	3	1972	7	0	0	0	0	0	0	0
741.39	7.89	94	4	1966	7	0	0	0	0	0	0	0
434.24	7.24	60	3	1966	6	0	0	0	0	1	0	0
573.37	6.67	86	4	1970	16	0	0	0	0	0	0	0
659.58	7.76	85	4	1969	16	0	0	0	0	0	0	0
422.3	6.12	69	3	1973	16	0	0	0	0	0	0	0
379.29	7.29	52	2	1973	16	0	0	0	0	0	0	0
441.41	4.65	95	3	1957.5	8	0	0	0	0	0	0	0
805.33	7.74	104	3	1983	22	0	0	0	0	0	1	1
680.03	9.44	72	2	1918	4	1	0	1	0	0	0	0
677.46	9.41	72	2	1990	4	1	0	0	0	0	0	0
1012.86	11.92	85	3	1957	4	1	0	0	0	0	0	0
605.31	7.12	85	3	1957	4	1	0	0	0	0	0	0
689.2	6.69	103	4	1918	4	1	0	0	0	0	0	0
613.56	9.9	62	3	1957	4	1	0	0	1	0	0	0
628.29	8.38	75	3	1948	4	1	0	0	0	0	0	0
482.96	8.78	55	2	1957	3	1	0	0	1	0	0	0
843.65	11.25	75	3	1918	2	0	0	0	0	0	0	0
488.08	8.42	58	2	1966	3	1	0	0	0	0	0	0
267.48	7.43	36	1	1957.5	9	0	0	0	0	0	0	0
366.55	4.7	78	3	1924	25	0	0	0	1	0	0	0
818.08	10.1	81	3	1918	2	1	0	0	0	0	1	0
383.47	8.72	44	1	1918	9	0	0	0	0	0	0	0
460	6.48	71	3	1918	9	1	0	0	1	0	0	0
244.5	12.22	20	1	1918	9	0	0	0	1	1	0	0
393.7	8.95	44	1	1939	9	1	0	0	0	0	0	0
818.07	8.18	100	4	1924	10	0	0	0	0	0	1	0
649.36	8.12	80	3	1918	9	0	0	0	0	1	0	0
971.47	12.14	80	3	1988	9	1	0	0	0	0	0	0
463.4	11.58	40	2	1918	5	1	0	0	1	0	0	0
541.8	8.09	67	3	1918	5	1	0	0	0	0	0	0
698.14	6.84	102	3	1918	5	1	0	0	0	0	0	0
574.62	9.58	60	2	1972	17	0	0	0	0	0	0	0
716	8.84	81	3	1960	4	1	0	0	0	0	0	0
299.62	7.49	40	2	1948	11	0	0	0	0	0	0	0
501.07	9.64	52	2	1948	12	0	0	0	0	0	0	0
676.68	7.2	94	4	1918	5	1	0	0	0	0	0	0
642.88	11.69	55	1	1960	13	1	0	0	0	0	0	0
579.28	9.19	63	2	1991	13	0	0	0	0	0	0	0
498.5	7.67	65	3	1918	17	0	0	0	0	0	0	0
420.5	7.01	60	2	1918	17	0	0	0	0	1	0	0
329.01	6.45	51	2	1966	23	0	0	0	0	0	0	0
169.74	3.2	53	2	1960	10	0	0	0	0	1	0	0
324.72	5.8	56	2	1948	23	0	0	0	0	0	0	0
489.78	8.16	60	2	1948	21	1	0	0	0	0	0	0
676.46	7.87	86	4	1968	6	0	0	0	0	1	0	0
568.98	10.94	52	2	1987	18	0	0	0	0	0	0	0
408.02	6.8	60	2	1966	17	0	0	0	0	0	0	0
336.29	7.01	48	1	1970	17	0	0	0	0	0	0	0
806.79	8.77	92	4	1960	17	0	0	0	0	0	0	0
623.02	7.51	83	3	1973	16	0	0	0	0	0	0	1
668.34	7.68	87	4	1966	16	1	0	0	0	0	0	0
230.15	7.19	32	1	1975	14	0	0	0	0	0	0	0
441.41	6.79	65	2	1960	18	0	0	0	1	0	0	0
489.58	6.9	71	3	1957.5	18	0	0	0	0	0	0	0
602.16	7.53	80	3	1918	5	1	0	0	1	0	0	0
285.7	16.81	17	1	1969	18	0	0	0	0	0	0	0
511.31	9.3	55	2	1968	3	1	0	0	0	1	0	0
306.78	7.67	40	2	1918	1	1	0	0	0	0	0	0
485.24	8.22	59	3	1960	12	1	0	0	0	1	0	0
591.67	7.79	76	3	1957.5	12	1	0	0	0	0	0	0
714.87	7.37	97	4	1918	3	1	0	0	0	0	0	0
850.48	7.73	110	4	1960	21	1	0	0	0	0	1	0
1035.68	9.42	110	4	1957	21	1	0	0	0	0	0	0
386.65	7.89	49	2	1993	3	1	0	0	0	0	0	0
951.81	10.02	95	3	1918	2	0	0	0	1	0	0	0
579.81	10.74	54	2	1957	2	1	0	0	0	0	0	0
680.03	8.72	78	3	1985	14	0	0	0	0	0	0	0
450.96	11.27	40	2	1991	15	1	0	0	0	0	0	0
968.16	9.31	104	4	1998.5	14	0	0	0	0	0	1	0
369.05	7.53	49	2	1957	3	1	0	0	0	0	0	0
653.16	7.26	90	3	1918	3	1	0	0	0	1	1	1
479.95	9.23	52	2	1957	25	0	0	0	0	0	0	0
533.75	8.09	66	2	1966	25	1	0	0	0	0	0	0
200.84	3.09	65	3	1948	25	0	0	1	1	1	0	0
349.06	6.12	57	3	1948	25	0	0	0	0	1	0	0
899.73	9	100	4	1966	25	1	0	0	0	0	1	0
843.64	9.93	85	3	1973	19	1	0	0	0	0	1	0
597.47	6.87	87	3	1924	19	0	0	0	0	0	0	0
1308.94	10.91	120	4	1957.5	19	0	0	0	0	0	1	0
676.77	3.76	180	6	1924	5	1	0	1	0	0	0	0
528.03	9.78	54	2	1966	13	0	0	0	0	0	0	0
856.24	9.96	86	3	1983	4	1	0	0	0	0	0	0
971.47	10.56	92	3	1966	4	0	0	0	0	0	0	0
369.84	11.21	33	1	1957	4	1	0	0	0	0	0	0
408.84	7.86	52	1	1957	4	1	0	0	0	0	0	0
334.41	4.78	70	3	1924	4	1	0	0	0	0	0	0
711.56	8.18	87	3	1972	25	1	0	0	0	0	0	0
563.79	7.05	80	4	1918	6	0	0	1	1	0	0	0
585.44	10.64	55	2	1918	9	1	0	0	0	0	0	0
770.34	8.66	89	3	1993	18	0	1	0	0	0	0	0
622.11	11.31	55	2	1993	14	0	0	0	0	0	0	1
246.18	6	41	2	1957	14	0	0	0	0	1	0	0
1173.94	6.35	185	6	1918	5	1	0	0	0	0	1	0
537.38	6.72	80	3	1957	5	0	0	0	0	0	0	0
293.22	5.14	57	2	1966	14	0	0	0	0	0	0	0
562.43	9.53	59	3	1966	14	0	0	0	1	0	0	0
383.48	9.59	40	1	1969	13	1	0	0	0	0	0	0
688.31	7.65	90	4	1986	13	1	0	0	0	0	0	0
477.73	9.01	53	2	1998	13	0	0	0	0	0	0	0
1037.94	10.59	98	4	1991	13	0	0	0	0	0	0	1
639.12	11.62	55	2	1993	16	1	0	0	0	0	0	1
1091.6	13.64	80	3	1957.5	3	1	0	0	0	0	0	1
618.67	8.14	76	3	1957	3	1	0	0	0	1	0	0
741.39	9.38	79	3	1948	3	1	0	0	0	0	0	0
312.92	12.04	26	1	1967	12	1	0	0	0	0	0	0
408.32	8.88	46	2	1957	12	0	0	0	0	1	0	0
826.26	8.88	93	3	1918	5	1	0	0	0	0	0	0
350.63	7.3	48	2	1960	5	0	0	0	0	1	0	0
383.47	10.36	37	1	1957	17	0	0	0	0	0	0	0
493.43	12.34	40	1	1972	5	0	0	0	0	0	0	0
666.51	10.58	63	2	1981	5	1	0	0	0	0	0	0
664.69	8.86	75	3	1971	16	0	0	0	0	0	0	0
551.7	7.16	77	3	1971	16	0	0	0	0	1	0	0
585.09	8.13	72	3	1970	16	0	0	0	0	0	0	0
450.96	6.44	70	3	1966	16	1	0	0	0	0	1	0
593.77	7.61	78	3	1976	16	1	0	0	0	0	1	0
598.22	8.93	67	2	1948	12	0	0	0	0	0	0	0
420.15	7.24	58	2	1960	2	1	0	0	0	1	0	0
618.84	9.1	68	2	1948	17	0	0	0	1	0	0	0
507.02	6.95	73	3	1957	17	0	0	0	0	0	0	0
531.75	8.86	60	2	1986	17	0	0	0	0	0	0	1
734.54	8.64	85	4	1918	5	0	0	0	0	0	0	0
1017.49	12.72	80	3	1998	2	1	0	0	0	0	0	0
567.55	12.34	46	2	1993	2	0	0	0	0	0	0	0
500.06	8.2	61	2	1957.5	2	0	0	0	1	0	0	0
331.17	8.71	38	2	1918	2	0	0	0	0	0	0	0
593.11	10.59	56	2	1957	2	0	0	0	0	0	0	0
134.37	2.24	60	2	1957.5	2	0	0	0	1	0	0	0
195.72	4.89	40	2	1918	8	0	0	0	1	0	0	0
659.64	6.6	100	4	1918	8	0	0	0	0	0	0	0
773.08	11.04	70	3	1918	13	1	0	0	0	0	0	0
313.78	4.3	73	3	1918	5	1	0	0	0	0	0	0
279.21	5.47	51	2	1960	5	1	0	0	0	1	0	0
660.79	10.01	66	2	1991	15	1	0	0	0	0	0	1
474.4	3.95	120	4	1918	6	0	0	0	0	0	0	0
574.14	8.83	65	3	1968	7	0	0	0	0	0	0	0
180.4	3.22	56	2	1957	7	0	0	0	1	1	0	0
736.42	6.29	117	3	1918	6	0	0	0	1	1	0	0
360.56	4.74	76	3	1924	6	0	0	0	0	0	0	0
736.9	10.53	70	2	1918	12	1	0	0	0	0	0	0
536.87	10.74	50	3	1960	24	0	0	0	0	0	0	0
682.79	10.04	68	3	1967	4	0	0	0	0	0	0	0
531.76	6.04	88	3	1918	4	1	0	0	1	1	0	0
372.6	4.19	89	3	1993	4	1	0	0	0	1	0	0
575	6.85	84	3	1957	2	1	0	0	0	0	0	0
282.93	9.13	31	1	1957	1	1	0	0	0	0	0	0
705.59	8.02	88	4	1972	24	0	0	0	0	0	1	0
513.26	7.44	69	2	1966	24	0	0	0	0	0	0	0
1004	11.16	90	4	2000	10	0	0	0	0	0	1	0
434.6	7.76	56	2	1966	10	0	0	0	0	0	0	0
448.55	6.06	74	3	1960	17	0	0	0	0	0	0	0
564.65	8.96	63	2	1957	17	0	0	0	0	0	0	0
423.99	7.85	54	2	1971	17	0	0	0	0	0	0	0
684.73	7.96	86	4	1977	16	0	0	0	0	1	0	0
1043.73	9.85	106	3	1918	2	0	0	0	0	0	0	0
276.33	3.18	87	4	1948	9	0	0	0	0	0	0	0
310.91	9.42	33	2	1966	9	1	0	0	0	1	0	0
460.17	8.68	53	2	1918	9	1	0	0	0	0	0	1
363.77	5.05	72	3	1948	9	0	0	0	0	1	0	0
509	6.53	78	3	1968	19	0	0	0	0	0	0	0
643.26	10.21	63	3	1948	20	1	0	1	1	0	0	0
385.61	4.94	78	3	1966	7	1	0	0	0	0	0	0
700.68	9.47	74	4	1974	16	0	0	0	0	0	0	0
380.62	9.52	40	1	1988	15	1	0	0	0	0	0	0
399.49	7.68	52	2	1969	15	1	0	0	0	0	0	0
999.22	7.69	130	4	2000	15	1	0	0	0	0	1	0
687.26	9.68	71	3	1966	17	0	0	0	0	0	0	0
394.21	7.44	53	2	1957.5	2	0	0	0	0	0	0	0
435.21	6.7	65	2	1957	2	0	0	0	0	1	1	0
370.72	5.53	67	2	1918	8	0	0	0	0	0	0	0
368.13	11.88	31	1	1985	11	0	0	0	0	0	0	0
1073.73	9.34	115	4	2000	12	0	0	0	0	0	1	0
620.34	5.8	107	4	1971	12	0	0	0	0	0	0	0
413.09	7.38	56	2	1998.5	12	0	0	0	0	0	0	1
724.37	9.17	79	3	1966	25	1	0	0	0	0	0	0
384.03	6.86	56	2	1969	25	1	0	0	0	0	0	0
1057.04	10.68	99	3	1989	21	0	0	0	0	0	0	1
494.07	8.37	59	2	1983	20	0	0	0	0	0	0	0
465.74	6.47	72	2	1924	10	0	0	0	0	1	0	0
265.22	2.95	90	4	1918	9	0	0	1	1	0	0	0
343.3	5.05	68	3	1957	3	1	0	1	1	1	0	0
398.54	6.53	61	3	1966	9	0	0	0	0	1	0	0
787.2	9.84	80	2	1924	9	1	0	0	1	1	0	0
706.83	11.78	60	2	1993	9	1	0	0	0	1	0	0
220.81	4.42	50	2	1957.5	9	0	0	1	1	1	0	0
562.43	8.65	65	3	1966	7	0	0	0	0	0	0	0
392.8	5.46	72	4	1970	7	0	0	0	0	0	1	0
299.57	8.81	34	2	1957	6	0	0	0	0	0	0	0
550.53	8.1	68	3	1918	6	0	0	0	0	0	0	0
383.69	10.37	37	1	1966	6	0	0	0	0	1	1	0
224.61	8.64	26	1	1960	3	1	0	0	1	0	0	0
613.05	8.28	74	3	1969	16	0	0	0	0	0	0	0
583.2	8.21	71	3	1973	16	1	0	0	0	0	1	0
573.43	5.73	100	5	1967	22	0	0	0	0	0	1	0
807.86	9.5	85	3	1983	22	0	0	0	0	0	1	0
398.69	12.46	32	1	1972	11	0	0	0	0	1	0	0
367.65	5.74	64	2	1971	12	0	0	0	0	0	0	0
372.63	9.81	38	2	1971	11	0	0	0	0	0	0	0
618.67	8.25	75	2	1996	24	0	0	0	0	0	0	0
484.02	7.45	65	2	1970	23	0	0	0	0	1	0	1
568.35	8.24	69	2	1966	10	0	0	0	0	0	0	0
381.87	5.87	65	2	1981	9	1	0	0	0	0	0	0
480.74	8.15	59	2	1975	10	0	0	0	0	0	0	0
1298.7	10.82	120	5	1990	10	0	0	0	0	0	0	0
392.95	13.1	30	1	1970	5	0	0	0	0	0	0	0
1232	11	112	4	1918	5	1	0	0	0	0	1	1
462.8	11.57	40	1	1970	5	0	0	0	0	0	0	0
460.17	8.52	54	2	1986	7	0	0	0	0	0	0	0
418.24	6.86	61	2	1974	7	0	0	0	0	0	0	0
423.51	5.5	77	3	1966	7	0	0	0	0	1	0	0
817.22	7.17	114	4	1974	7	0	0	0	0	0	1	0
210.76	2.29	92	3	1948	13	1	0	0	0	0	0	0
1578.39	12.14	130	4	1998.5	5	1	0	0	0	0	0	0
950.01	10.92	87	3	1974	5	1	0	0	0	0	0	0
422.07	10.55	40	1	1997	10	0	0	0	0	0	0	0
418.73	8.21	51	2	2000	10	0	0	0	0	0	0	1
927.08	9.27	100	4	1970	24	0	0	0	0	0	0	0
404.79	6.98	58	3	1969	10	0	0	0	0	0	0	0
625.1	7.53	83	3	1972	10	0	0	0	0	0	0	0
827.69	8.9	93	3	1939	2	1	0	0	0	0	0	0
614.58	7.23	85	2	1918	2	1	0	0	0	0	0	0
452.16	6.65	68	2	1957	2	1	0	0	0	0	1	0
450.73	6.73	67	3	1957	2	1	0	0	0	0	0	0
135.21	3	45	2	1924	16	0	0	0	0	1	0	0
394.61	6.07	65	3	1960	19	0	0	0	0	0	0	0
444.41	12.01	37	2	1973	19	1	0	0	0	0	0	0
598.82	6.88	87	3	1972	19	0	0	0	0	0	0	0
269.25	5.18	52	2	1924	16	0	0	0	0	0	0	0
399.5	4.81	83	4	1960	14	0	0	0	0	1	0	0
766.95	10.23	75	2	1924	3	1	0	0	0	1	0	0
875.24	10.81	81	4	1966	1	1	0	0	0	1	0	0
425.64	5.75	74	3	1924	4	0	0	0	0	1	0	0
419.46	12.71	33	1	1957	4	1	0	0	0	1	0	0
547.15	7.71	71	3	1966	9	0	0	0	0	0	0	0
601.59	10.03	60	2	1979	9	1	0	0	0	0	0	0
815.53	10.59	77	3	1985	2	1	0	0	0	0	0	0
196.85	7.57	26	1	1960	2	1	0	0	0	0	0	0
635	6.9	92	3	1918	2	1	0	0	0	0	0	0
1266.05	12.06	105	4	1918	3	0	0	0	0	0	1	0
337.5	8.04	42	1	1957	3	0	0	0	0	1	0	0
399.61	5.06	79	3	1957	8	0	0	0	1	1	0	0
359.02	5.52	65	2	1918	8	0	0	0	0	0	0	0
390.57	11.84	33	2	1957.5	8	0	0	0	0	1	0	0
279.53	5.48	51	2	1957	8	0	0	0	1	1	0	0
908.72	7.57	120	6	1957	15	1	0	0	0	0	1	0
713.27	8.2	87	3	1966	15	1	0	0	0	0	0	0
966.36	10.86	89	5	1988	15	1	0	0	0	0	0	0
590.54	9.68	61	2	1987	14	1	0	0	0	0	0	1
652.49	8.82	74	3	1983	15	1	0	0	0	0	0	0
637.82	7.87	81	3	1967	15	1	0	0	0	0	0	0
494.53	5.68	87	3	1948	4	0	0	0	0	0	0	0
741.38	12.36	60	3	1960	2	0	0	0	0	0	0	1
623.65	7.34	85	3	1918	2	0	0	0	0	0	0	0
690.26	8.74	79	3	1957.5	2	0	0	0	0	1	0	0
1661.55	11.08	150	5	1966	13	0	0	0	0	1	0	0
583.32	9.26	63	2	1983	13	1	0	0	0	0	0	0
570.1	9.83	58	2	1957.5	13	0	0	0	0	0	0	0
874.32	11.21	78	2	1918	5	1	0	0	0	0	0	1
1452.93	11.62	125	4	1918	5	1	0	0	0	0	0	1
270.71	4.67	58	2	1948	16	0	0	0	0	0	0	0
305.45	4.93	62	3	1918	16	0	0	0	0	0	0	0
337.35	10.54	32	1	1966	3	1	0	0	0	0	0	0
290.42	10.37	28	1	1972	3	1	0	0	0	0	0	0
541.39	5.26	103	4	1918	3	1	0	0	0	0	0	0
723.59	6.29	115	4	1918	3	1	0	0	0	0	0	0
797.51	10.36	77	3	1957.5	3	1	0	0	0	0	0	0
715.82	9.06	79	3	1966	3	1	0	0	0	0	1	0
1022.68	9.74	105	3	1918	3	1	0	0	0	0	0	0
559.54	9.48	59	2	1989	12	0	0	0	0	0	0	0
479.41	6.85	70	3	1957.5	3	1	0	0	0	0	0	0
327.52	10.23	32	1	1972	3	1	0	0	0	0	0	0
410.57	12.44	33	1	1966	7	0	0	0	0	0	0	0
393.37	6.45	61	2	1966	7	0	0	0	0	1	0	0
229.06	5.73	40	2	1918	6	0	0	0	1	1	0	0
342.57	5.35	64	3	1957	13	0	0	0	0	0	0	0
560.58	9.19	61	3	1957	13	0	0	0	0	0	0	0
364.3	7.75	47	2	1967	21	0	0	0	0	0	0	0
484.01	8.49	57	2	1960	18	0	0	0	0	0	0	0
464.56	10.32	45	2	1968	23	1	0	0	0	0	0	0
270.07	4.22	64	2	1996	23	0	0	0	0	0	0	1
561.35	7.02	80	3	1966	23	0	0	0	0	1	1	0
520.49	4.86	107	4	1957.5	24	0	0	0	0	0	0	0
387.24	6.35	61	3	1966	11	0	0	0	0	0	0	0
328.39	6.84	48	2	1966	11	0	0	0	0	1	0	0
657.68	10.12	65	3	1960	11	0	0	0	0	0	0	0
815.71	10.88	75	3	1998	11	0	0	0	0	1	0	1
319.21	4.63	69	3	1957	3	1	0	0	0	0	0	0
460.17	6.77	68	2	1918	1	1	0	0	0	1	0	0
603.34	9.73	62	3	1957	3	1	0	0	0	1	0	0
286	7.94	36	1	1948	3	1	0	0	0	1	0	0
989.17	11.64	85	3	1918	3	1	0	0	1	0	0	0
655.48	8.4	78	3	1960	4	1	0	0	0	0	0	0
345.75	5.01	69	2	1957	3	1	0	0	0	0	0	0
609.58	8.71	70	2	1957	3	1	0	0	0	0	0	0
782.19	12.82	61	2	1957.5	3	1	0	0	0	0	0	1
355.36	8.46	42	2	1966	21	1	0	0	0	0	0	0
644.34	7.86	82	3	1918	5	1	0	0	0	0	0	0
243.44	3.93	62	3	1918	17	0	0	1	0	0	0	0
392.18	7.69	51	1	1966	17	0	0	0	0	1	0	0
568.93	8.89	64	2	1989	7	0	0	0	0	0	1	0
535.92	7.66	70	3	1966	25	0	0	0	0	0	0	0
254.75	10.61	24	1	1960	25	1	0	0	0	1	0	0
1003.38	9.84	102	4	1996	25	0	0	0	0	0	0	0
415.57	7.29	57	2	1974	20	0	0	0	0	0	0	0
713.26	8.39	85	4	1975	20	1	0	0	0	0	0	0
661.5	7.35	90	3	1966	6	0	0	0	0	0	0	0
352.68	7.2	49	2	1993	9	0	1	0	0	0	0	0
1385.12	10.82	128	6	1991	9	1	0	0	0	1	0	0
738.8	10.55	70	3	1948	9	1	0	0	0	0	0	0
306.61	12.78	24	2	1918	9	1	0	0	0	1	0	0
582.37	9.39	62	2	1966	9	1	0	0	0	0	0	0
920.33	7.36	125	5	1924	9	1	0	0	0	0	0	0
224.55	3.94	57	2	1918	25	0	0	0	0	0	0	0
524.09	8.88	59	2	1973	25	0	0	0	0	1	0	0
487.77	6.77	72	3	1960	25	0	0	0	0	1	0	0
501.96	5.84	86	4	1966	21	0	0	0	0	1	0	0
640.83	8.66	74	3	1966	21	1	0	0	0	0	0	0
548.79	9.98	55	1	1995	21	1	0	0	0	0	0	0
523.33	7.81	67	3	1970	20	0	0	0	0	0	0	0
177.36	3.17	56	3	1957	25	0	0	0	1	0	0	0
564.02	7.23	78	3	1948	25	0	0	0	0	1	0	0
714.27	7.94	90	4	1966	13	0	0	0	0	0	0	0
377.59	4.97	76	3	1948	5	1	0	0	0	0	0	0
468.92	7.33	64	3	1957	25	0	0	0	0	0	1	0
686.32	8.07	85	4	1948	25	0	0	0	0	0	0	0
280.7	5.85	48	2	1957	25	0	0	0	0	0	0	0
504.4	5.87	86	4	1966	20	0	0	0	0	1	0	0
364.18	5.06	72	3	1966	20	0	0	0	0	0	0	0
345.79	10.17	34	1	1970	25	1	0	0	0	1	0	0
193.38	2.93	66	3	1918	12	1	0	0	0	0	0	0
193.18	1.89	102	4	1918	12	1	0	0	0	0	0	0
883.53	8.84	100	4	1918	12	1	0	0	0	0	0	0
362.13	10.65	34	1	1966	4	1	0	0	0	0	0	0
306.4	9.88	31	1	1972	4	1	0	0	0	1	0	0
771.5	11.02	70	2	1974	5	1	0	0	0	1	0	0
490.85	12.27	40	1	1979	13	0	1	0	0	0	0	0
580.32	10.55	55	2	1998	14	0	0	0	0	0	0	1
667.25	7.5	89	2	1918	2	1	0	0	0	0	0	0
601.65	9.4	64	2	1972	2	1	0	0	0	0	0	1
711.45	5.88	121	4	1918	2	1	0	0	0	1	0	0
370	5.21	71	2	1957	2	1	0	0	0	0	0	0
347.74	6.95	50	2	1957	2	1	0	0	0	0	0	0
967.62	11.12	87	2	1918	2	1	0	0	0	0	1	0
627.58	7.38	85	3	1918	2	1	0	0	1	1	0	0
617.6	7.18	86	3	1960	4	1	0	0	0	0	0	0
375.3	5.44	69	3	1966	24	0	0	0	0	0	0	0
639.21	11.62	55	2	1973	11	0	0	0	0	0	0	0
721.38	7.44	97	3	1918	11	0	0	0	0	1	0	0
330.55	13.22	25	1	1966	4	0	0	0	0	0	0	0
675.71	10.09	67	2	1939	4	1	0	0	0	0	0	0
1143.05	9.94	115	3	1970	13	0	0	0	0	0	0	0
354.63	11.82	30	1	1972	13	0	0	0	0	0	0	0
645.85	14.04	46	2	1994	18	0	1	0	0	0	0	0
316.62	7.2	44	2	1957	12	0	0	0	0	1	0	0
493.4	7.96	62	2	1957	2	1	0	0	0	1	0	0
456.33	7.73	59	3	1918	2	1	0	0	0	0	0	0
801.7	6.41	125	4	1957.5	2	1	0	0	0	0	0	0
421.68	10.54	40	2	1993	16	0	0	0	0	0	0	0
704.08	9.14	77	3	1990	13	1	0	0	0	0	0	0
649.02	7.64	85	3	1983	16	0	0	0	0	0	0	0
663.33	9.61	69	3	1993	16	0	0	0	0	0	0	1
642.39	12.12	53	2	1998.5	15	1	0	0	0	0	0	1
783.23	9.91	79	3	1957	15	1	0	0	0	0	0	0
438.7	7.31	60	2	1957	4	1	0	0	0	0	0	0
525.37	9.55	55	2	1957	4	1	0	0	0	0	0	0
723.49	8.22	88	4	1970	16	0	0	0	0	0	0	0
342.57	9.26	37	1	1970	16	0	0	0	0	0	0	0
235.2	8.71	27	1	1971	16	0	0	0	0	0	0	0
510	5.8	88	4	1969	16	0	0	0	0	0	0	0
577.77	6.64	87	3	1918	5	0	0	0	0	0	0	0
157.51	2.54	62	3	1957	6	0	0	0	0	0	0	0
509.47	7.49	68	3	1966	24	0	0	0	0	1	0	0
444.21	8.88	50	2	1989	9	1	0	0	0	0	0	0
629.09	9.53	66	2	1924	9	0	1	0	0	1	0	0
604.17	7.28	83	3	1960	9	0	0	0	0	1	0	0
398.82	8.86	45	1	1957.5	9	0	0	0	0	0	0	0
678.4	13.05	52	2	1957	3	0	0	0	0	1	0	0
317.43	4.47	71	3	1918	9	0	0	1	1	0	0	0
434.61	8.2	53	2	1980	9	0	0	0	0	1	0	0
717.71	7.48	96	3	1924	10	0	0	0	0	1	0	0
525.71	7.62	69	3	1966	7	0	0	0	0	0	0	0
920.34	10.7	86	4	1966	6	0	0	0	0	0	0	0
494.28	8.24	60	2	1924	6	1	0	0	0	0	0	0
460	7.93	58	2	1982	16	1	0	0	0	0	0	0
598	8.79	68	2	1973	16	0	0	0	0	0	0	0
378.36	6.88	55	2	1970	16	0	0	0	0	0	0	0
824.58	6.76	122	3	1918	1	1	0	0	0	0	0	0
1538.43	8.64	178	6	1983	1	1	0	0	0	1	0	0
716	5.97	120	4	1918	4	1	0	0	0	0	0	0
434.56	4.14	105	4	1957	16	0	0	0	0	1	0	0
766.95	10.23	75	3	1990	16	0	0	0	0	0	0	0
356.41	4.75	75	3	1918	3	1	0	0	1	1	0	0
727.54	10.86	67	4	1957	9	0	0	0	0	0	0	0
525	7.19	73	3	1970	9	0	0	0	0	1	0	0
737.3	9.33	79	3	1957	4	1	0	0	0	0	0	0
439.2	3.51	125	4	1918	2	0	0	0	0	0	0	0
376.26	4.82	78	3	1992	2	1	0	0	0	1	0	0
712.79	10.18	70	2	1996	3	0	0	0	0	0	0	0
491.79	4.92	100	4	1918	8	0	0	1	1	1	0	0
449.27	8.64	52	2	1918	8	0	0	0	0	0	0	0
1467.69	12.44	118	2	1998.5	5	1	0	0	0	1	0	1
484.66	5.64	86	4	1918	9	1	0	0	0	0	1	0
359.8	7.5	48	2	1966	14	0	0	0	0	0	0	0
531.76	8.44	63	2	1957	3	1	0	0	0	0	0	1
419.04	8.22	51	2	1966	3	1	0	0	0	1	0	0
793.33	7.7	103	3	1918	4	1	0	0	0	0	0	0
515.67	9.55	54	2	1960	3	1	0	0	0	0	0	0
384.31	8.35	46	2	1957	4	1	0	0	0	0	0	0
1023.31	8.82	116	4	1918	12	1	0	0	0	0	0	0
444.83	12.71	35	1	1966	7	1	0	0	0	0	0	0
733.72	8.53	86	5	1975	20	1	0	0	0	0	0	0
715.82	10.85	66	2	1988	20	1	0	0	0	0	0	0
562	10.04	56	2	1966	6	0	0	0	0	1	0	0
603.34	10.06	60	2	1918	1	0	0	0	0	0	0	0
821.61	6.04	136	4	1918	1	1	0	1	0	1	0	0
1102	6.37	173	5	1918	1	0	0	0	0	0	1	0
823.19	9.46	87	3	1918	5	1	0	0	0	0	0	0
905.01	11.75	77	3	1998.5	19	1	0	0	0	0	1	0
733.77	5.24	140	4	1957	4	1	0	0	0	0	0	0
569.69	6.55	87	3	1957	4	1	0	0	0	0	0	0
818.08	9.09	90	4	1918	1	0	0	0	0	0	0	0
751.6	11.39	66	3	1980	1	1	0	0	0	0	0	0
712.33	9.5	75	3	1967	1	1	0	0	0	0	0	0
329.63	12.21	27	1	1957	3	1	0	0	0	1	0	0
384	17.45	22	1	1972	14	0	0	0	0	0	0	0
281.22	5.62	50	3	1948	14	0	0	0	0	0	0	0
786.38	10.21	77	3	1998	14	0	0	0	0	0	0	0
324.6	4.06	80	3	1948	14	0	0	0	1	0	0	0
509.9	6.8	75	3	1983	14	1	0	0	0	0	0	0
785.76	10.76	73	3	1998	25	0	0	0	0	0	0	0
765.24	7.65	100	4	1918	25	0	0	0	0	0	0	0
692.57	9.36	74	3	1960	25	0	0	0	0	0	0	0
